Switch;ID_Object;Nbr;IP;ID_Ring;ID_Equipment;Serial;MAC;ID_VLAN;ID_SFP ‰Îˇ 25 ÔÓÚ‡;ID_SFP ‰Îˇ 26 ÔÓÚ‡;InService;ID_TipPort ‰Îˇ 25 ÔÓÚ‡;ID_TipPort ‰Îˇ 26 ÔÓÚ‡;Switch ‰Îˇ LLDP 25 ÔÓÚ‡;Switch ‰Îˇ LLDP 26 ÔÓÚ‡;Proverka_NameSwitch;Data_oprosa_LLDP;Nomer_v_kolce;Port_na_DS;Port_DS_des
MDU_BRD00128_1012_1;MDU_BRD00128_1012;1;10.207.128.7;101;Huawei Quidway S2326;21023513666TC4004517;e024-7f1a-2932;4;N;H;»—“»Õ¿;C;F;MDU_BRD00128_1012_2;MDU_BRD00128_1011_1;MDU_BRD00128_1012_1;05.02.2015;2;;
MDU_BRD00128_1012_2;MDU_BRD00128_1012;2;10.207.128.51;101;Huawei Quidway S2326;21023513666TCB009968;1047-8010-15cb;2;H;N;»—“»Õ¿;F;C;MDU_BRD00128_1013_1;MDU_BRD00128_1012_1;MDU_BRD00128_1012_2;05.02.2015;3;;
MDU_BRD00128_1013_1;MDU_BRD00128_1013;1;10.207.128.8;101;Huawei Quidway S2326;21023513666TB6012163;80fb-060b-006a;3;N;H;»—“»Õ¿;C;F;MDU_BRD00128_1013_2;MDU_BRD00128_1012_2;MDU_BRD00128_1013_1;05.02.2015;4;;
MDU_BRD00128_1013_2;MDU_BRD00128_1013;2;10.207.128.52;101;Huawei Quidway S2326;21023513666TCB010555;1047-8010-1679;5;H;N;»—“»Õ¿;F;C;ds2-zap36;MDU_BRD00128_1013_1;MDU_BRD00128_1013_2;05.02.2015;5;1;101
MDU_BRD00128_1021_1;MDU_BRD00128_1021;1;10.207.128.9;102;Huawei Quidway S2326;21023513666TB6012191;80fb-060b-0086;1;N;H;»—“»Õ¿;C;F;MDU_BRD00128_1021_2;ds1-zap36;MDU_BRD00128_1021_1;05.02.2015;1;2;102
MDU_BRD00128_1021_2;MDU_BRD00128_1021;2;10.207.128.58;102;Huawei Quidway S2326;21023513666TD1006584;dcd2-fc56-2e31;5;H;N;»—“»Õ¿;F;C;MDU_BRD00128_1022_1;MDU_BRD00128_1021_1;MDU_BRD00128_1021_2;05.02.2015;2;;
MDU_BRD00128_1022_1;MDU_BRD00128_1022;1;10.207.128.10;102;Huawei Quidway S2326;21023513666TB6012174;80fb-060b-0075;2;H;H;»—“»Õ¿;F;F;MDU_BRD00128_1023_2;MDU_BRD00128_1021_2;MDU_BRD00128_1022_1;05.02.2015;3;;
MDU_BRD00128_1023_1;MDU_BRD00128_1023;1;10.207.128.11;102;Huawei Quidway S2326;21023513666TB7026879;80fb-06c3-c84b;3;H;N;»—“»Õ¿;F;C;ds2-zap36;MDU_BRD00128_1023_2;MDU_BRD00128_1023_1;05.02.2015;5;1;102
MDU_BRD00128_1023_2;MDU_BRD00128_1023;2;10.207.128.55;102;Huawei Quidway S2326;21023513666TCB010211;1047-8010-1909;4;N;H;»—“»Õ¿;C;F;MDU_BRD00128_1023_1;MDU_BRD00128_1022_1;MDU_BRD00128_1023_2;05.02.2015;4;;
MDU_BRD00128_2001_1;MDU_BRD00128_2001;1;10.207.128.22;200;Huawei Quidway S2326;21023513666TB6012200;80fb-060b-008f;1;H;H;»—“»Õ¿;F;F;ds1-zap36;MDU_BRD00128_2002_1;MDU_BRD00128_2001_1;05.02.2015;1;1;105
MDU_BRD00128_2002_1;MDU_BRD00128_2002;1;10.207.128.23;200;Huawei Quidway S2326;21023513666TB7026905;80fb-06c3-c865;2;N;H;»—“»Õ¿;C;F;MDU_BRD00128_2002_2;MDU_BRD00128_2001_1;MDU_BRD00128_2002_1;05.02.2015;2;;
MDU_BRD00128_2002_2;MDU_BRD00128_2002;2;10.207.128.62;200;Huawei Quidway S2326;21023513666TD2002401;dcd2-fc67-5f77;7;N;H;»—“»Õ¿;C;F;MDU_BRD00128_2002_1;MDU_BRD00128_2003_1;MDU_BRD00128_2002_2;05.02.2015;3;;
MDU_BRD00128_2003_1;MDU_BRD00128_2003;1;10.207.128.24;200;Huawei Quidway S2326;21023513666TB6012161;80fb-060b-0068;3;H;H;»—“»Õ¿;F;C;MDU_BRD00128_2002_2;MDU_BRD00128_2003_2;MDU_BRD00128_2003_1;05.02.2015;4;;
MDU_BRD00128_2003_2;MDU_BRD00128_2003;2;10.207.128.75;200;Huawei Quidway S2326;2102351366TB1017168;781d-ba8f-f3c4;9;H;;»—“»Õ¿;C;F;MDU_BRD00128_2003_1;MDU_BRD00128_2004_2;MDU_BRD00128_2003_2;05.02.2015;5;;
MDU_BRD00128_2004_1;MDU_BRD00128_2004;1;10.207.128.25;200;Huawei Quidway S2326;21023513666TB6012184;80fb-060b-007f;4;N;H;»—“»Õ¿;C;F;MDU_BRD00128_2004_2;MDU_BRD00128_2005_2;MDU_BRD00128_2004_1;05.02.2015;7;;
MDU_BRD00128_2004_2;MDU_BRD00128_2004;2;10.207.128.66;200;Huawei Quidway S2326;2102351366DME6004481;5439-df2b-d189;8;H;N;»—“»Õ¿;F;C;MDU_BRD00128_2003_2;MDU_BRD00128_2004_1;MDU_BRD00128_2004_2;05.02.2015;6;;
MDU_BRD00128_2005_1;MDU_BRD00128_2005;1;10.207.128.26;200;Huawei Quidway S2326;21023513666TB7028187;80fb-06c1-e6b1;5;H;N;»—“»Õ¿;F;C;MDU_BRD00128_2006_1;MDU_BRD00128_2005_2;MDU_BRD00128_2005_1;05.02.2015;9;;
MDU_BRD00128_2005_2;MDU_BRD00128_2005;2;10.207.128.73;200;Huawei Quidway S2326;2102351366DME7008146;04f9-38ce-0c8e;10;N;H;»—“»Õ¿;C;F;MDU_BRD00128_2005_1;MDU_BRD00128_2004_1;MDU_BRD00128_2005_2;05.02.2015;8;;
MDU_BRD00128_2006_1;MDU_BRD00128_2006;1;10.207.128.27;200;Huawei Quidway S2326;21023513666TB6016216;80fb-060d-8f37;6;H;H;»—“»Õ¿;F;F;MDU_BRD00128_2005_1;ds2-zap36;MDU_BRD00128_2006_1;05.02.2015;10;2;105
MDU_BRD00128_2011_1;MDU_BRD00128_2011;1;10.207.128.12;201;Huawei Quidway S2326;21023513666TB7028168;80fb-06c1-e69e;1;H;H;»—“»Õ¿;F;F;ds1-zap36;MDU_BRD00128_2012_2;MDU_BRD00128_2011_1;05.02.2015;1;1;103
MDU_BRD00128_2012_1;MDU_BRD00128_2012;1;10.207.128.13;201;Huawei Quidway S2326;21023513666TB6012178;80fb-060b-0079;2;H;H;»—“»Õ¿;F;C;MDU_BRD00128_2013_1;MDU_BRD00128_2012_2;MDU_BRD00128_2012_1;05.02.2015;3;;
MDU_BRD00128_2012_2;MDU_BRD00128_2012;2;10.207.128.76;201;Huawei Quidway S2326;2102351366TB1016612;781d-ba8f-e74a;8;H;;»—“»Õ¿;C;F;MDU_BRD00128_2012_1;MDU_BRD00128_2011_1;MDU_BRD00128_2012_2;05.02.2015;2;;
MDU_BRD00128_2013_1;MDU_BRD00128_2013;1;10.207.128.14;201;Huawei Quidway S2326;21023513666TB6012162;80fb-060b-0069;3;H;H;»—“»Õ¿;F;C;MDU_BRD00128_2012_1;MDU_BRD00128_2013_2;MDU_BRD00128_2013_1;05.02.2015;4;;
MDU_BRD00128_2013_2;MDU_BRD00128_2013;2;10.207.128.59;201;Huawei Quidway S2326;21023513666TD1009178;dcd2-fc59-27d6;6;N;H;»—“»Õ¿;C;F;MDU_BRD00128_2013_1;MDU_BRD00128_2014_1;MDU_BRD00128_2013_2;05.02.2015;5;;
MDU_BRD00128_2014_1;MDU_BRD00128_2014;1;10.207.128.15;201;Huawei Quidway S2326;21023513666TB6013240;80fb-060f-2543;4;H;H;»—“»Õ¿;F;F;MDU_BRD00128_2015_2;MDU_BRD00128_2013_2;MDU_BRD00128_2014_1;05.02.2015;6;;
MDU_BRD00128_2015_1;MDU_BRD00128_2015;1;10.207.128.16;201;Huawei Quidway S2326;21023513666TB6012194;80fb-060b-0089;5;H;N;»—“»Õ¿;Down;C;ds2-zap36;MDU_BRD00128_2015_2;MDU_BRD00128_2015_1;05.02.2015;8;;103
MDU_BRD00128_2015_2;MDU_BRD00128_2015;2;10.207.128.71;201;Huawei Quidway S2326;2102351366DME7001800;04f9-38c9-7cda;7;;;»—“»Õ¿;C;F;MDU_BRD00128_2015_1;MDU_BRD00128_2014_1;MDU_BRD00128_2015_2;05.02.2015;7;;
MDU_BRD00128_2021_1;MDU_BRD00128_2021;1;10.207.128.17;202;Huawei Quidway S2326;21023513666TB7026870;80fb-06c3-c842;1;;;»—“»Õ¿;F;C;ds1-zap36;MDU_BRD00128_2021_2;MDU_BRD00128_2021_1;05.02.2015;1;1;104
MDU_BRD00128_2021_2;MDU_BRD00128_2021;2;10.207.128.63;202;Huawei Quidway S2326;21023513666TC7002938;0046-4bc9-89c3;7;;;»—“»Õ¿;C;F;MDU_BRD00128_2021_1;MDU_BRD00128_2022_1;MDU_BRD00128_2021_2;05.02.2015;2;;
MDU_BRD00128_2022_1;MDU_BRD00128_2022;1;10.207.128.18;202;Huawei Quidway S2326;21023513666TB6016583;80fb-060d-182d;2;;;»—“»Õ¿;C;F;MDU_BRD00128_2022_2;MDU_BRD00128_2021_2;MDU_BRD00128_2022_1;05.02.2015;3;;
MDU_BRD00128_2022_2;MDU_BRD00128_2022;2;10.207.128.74;202;Huawei Quidway S2326;2102351366DME7001121;04f9-38c8-4a69;9;;;»—“»Õ¿;F;C;MDU_BRD00128_2023_1;MDU_BRD00128_2022_1;MDU_BRD00128_2022_2;06.02.2015;4;;
MDU_BRD00128_2023_1;MDU_BRD00128_2023;1;10.207.128.19;202;Huawei Quidway S2326;21023513666TB6012141;80fb-060b-0054;3;;;»—“»Õ¿;C;F;MDU_BRD00128_2023_2;MDU_BRD00128_2022_2;MDU_BRD00128_2023_1;06.02.2015;5;;
MDU_BRD00128_2023_2;MDU_BRD00128_2023;2;10.207.128.60;202;Huawei Quidway S2326;21023513666TD1008375;dcd2-fc59-24b3;6;;;»—“»Õ¿;F;C;MDU_BRD00128_2024_2;MDU_BRD00128_2023_1;MDU_BRD00128_2023_2;06.02.2015;6;;
MDU_BRD00128_2024_1;MDU_BRD00128_2024;1;10.207.128.20;202;Huawei Quidway S2326;21023513666TB6012185;80fb-060b-0080;4;;;»—“»Õ¿;C;F;MDU_BRD00128_2024_2;MDU_BRD00128_2025_1;MDU_BRD00128_2024_1;06.02.2015;8;;
MDU_BRD00128_2024_2;MDU_BRD00128_2024;2;10.207.128.67;202;Huawei Quidway S2326;2102351366DME6004421;5439-df2b-d14d;8;;;»—“»Õ¿;F;C;MDU_BRD00128_2023_2;MDU_BRD00128_2024_1;MDU_BRD00128_2024_2;06.02.2015;7;;
MDU_BRD00128_2025_1;MDU_BRD00128_2025;1;10.207.128.21;202;Huawei Quidway S2326;21023513666TB6012810;80fb-060f-2f19;5;;;»—“»Õ¿;F;F;ds2-zap36;MDU_BRD00128_2024_1;MDU_BRD00128_2025_1;06.02.2015;9;1;104
MDU_BRD00128_2031_1;MDU_BRD00128_2031;1;10.207.128.28;203;Huawei Quidway S2326;21023513666TB7028204;80fb-06c1-e6c2;1;;;»—“»Õ¿;C;F;MDU_BRD00128_2031_2;MDU_BRD00128_2032_2;MDU_BRD00128_2031_1;06.02.2015;2;;
MDU_BRD00128_2031_2;MDU_BRD00128_2031;2;10.207.128.61;203;Huawei Quidway S2326;21023513666TCB007624;1047-800e-e5ea;9;;;»—“»Õ¿;F;C;ds1-zap36;MDU_BRD00128_2031_1;MDU_BRD00128_2031_2;06.02.2015;1;1;106
MDU_BRD00128_2032_1;MDU_BRD00128_2032;1;10.207.128.29;203;Huawei Quidway S2326;21023513666TB6012167;80fb-060b-006e;2;;;»—“»Õ¿;F;C;MDU_BRD00128_2033_1;MDU_BRD00128_2032_2;MDU_BRD00128_2032_1;06.02.2015;4;;
MDU_BRD00128_2032_2;MDU_BRD00128_2032;2;10.207.128.68;203;Huawei Quidway S2326;2102351366DME6004449;5439-df2b-d169;11;;;»—“»Õ¿;C;F;MDU_BRD00128_2032_1;MDU_BRD00128_2031_1;MDU_BRD00128_2032_2;06.02.2015;3;;
MDU_BRD00128_2033_1;MDU_BRD00128_2033;1;10.207.128.30;203;Huawei Quidway S2326;21023513666TB7028173;80fb-06c1-e6a3;3;;;»—“»Õ¿;C;F;MDU_BRD00128_2033_2;MDU_BRD00128_2032_1;MDU_BRD00128_2033_1;06.02.2015;5;;
MDU_BRD00128_2033_2;MDU_BRD00128_2033;2;10.207.128.64;203;Huawei Quidway S2326;21023513666TD2000751;dcd2-fc5c-c1ad;10;;;»—“»Õ¿;F;C;MDU_BRD00128_2034_2;MDU_BRD00128_2033_1;MDU_BRD00128_2033_2;06.02.2015;6;;
MDU_BRD00128_2034_1;MDU_BRD00128_2034;1;10.207.128.31;203;Huawei Quidway S2326;21023513666TB7027838;80fb-06c1-e748;4;;;»—“»Õ¿;F;C;MDU_BRD00128_2035_1;MDU_BRD00128_2034_2;MDU_BRD00128_2034_1;06.02.2015;8;;
MDU_BRD00128_2034_2;MDU_BRD00128_2034;2;10.207.128.50;203;Huawei Quidway S2326;21023513666TCB008652;1047-800e-e9ee;7;;;»—“»Õ¿;C;F;MDU_BRD00128_2034_1;MDU_BRD00128_2033_2;MDU_BRD00128_2034_2;06.02.2015;7;;
MDU_BRD00128_2035_1;MDU_BRD00128_2035;1;10.207.128.32;203;Huawei Quidway S2326;21023513666TB6012166;80fb-060b-006d;5;;;»—“»Õ¿;C;F;MDU_BRD00128_2035_2;MDU_BRD00128_2034_1;MDU_BRD00128_2035_1;06.02.2015;9;;
MDU_BRD00128_2035_2;MDU_BRD00128_2035;2;10.207.128.53;203;Huawei Quidway S2326;21023513666TCB008808;1047-800e-ea8a;8;;;»—“»Õ¿;F;C;MDU_BRD00128_2036_1;MDU_BRD00128_2035_1;MDU_BRD00128_2035_2;06.02.2015;10;;
MDU_BRD00128_2036_1;MDU_BRD00128_2036;1;10.207.128.33;203;Huawei Quidway S2326;21023513666TB6012197;80fb-060b-008c;6;;;»—“»Õ¿;F;F;MDU_BRD00128_2035_2;ds2-zap36;MDU_BRD00128_2036_1;06.02.2015;11;2;106
MDU_BRD00128_3001_1;MDU_BRD00128_3001;1;10.207.128.39;300;Huawei Quidway S2326;21023513666TB6016588;80fb-060d-1832;6;;;»—“»Õ¿;Down;F;ds2-zap36;MDU_BRD00128_3002_1;MDU_BRD00128_3001_1;06.02.2015;1;;200
MDU_BRD00128_3002_1;MDU_BRD00128_3002;1;10.207.128.38;300;Huawei Quidway S2326;21023513666TB6012164;80fb-060b-006b;5;;;»—“»Õ¿;F;F;MDU_BRD00128_3001_1;MDU_BRD00128_3003_1;MDU_BRD00128_3002_1;06.02.2015;2;;
MDU_BRD00128_3003_1;MDU_BRD00128_3003;1;10.207.128.37;300;Huawei Quidway S2326;21023513666TB7027999;80fb-06c1-e7e8;4;;;»—“»Õ¿;F;F;MDU_BRD00128_3004_2;MDU_BRD00128_3002_1;MDU_BRD00128_3003_1;06.02.2015;3;;
MDU_BRD00128_3004_1;MDU_BRD00128_3004;1;10.207.128.36;300;Huawei Quidway S2326;21023513666TB7028188;80fb-06c1-e6b2;3;;;»—“»Õ¿;F;C;MDU_BRD00128_3005_1;MDU_BRD00128_3004_2;MDU_BRD00128_3004_1;06.02.2015;5;;
MDU_BRD00128_3004_2;MDU_BRD00128_3004;2;10.207.128.48;300;Huawei Quidway S2326;21023513666TCB007703;1047-800e-e639;7;;;»—“»Õ¿;C;F;MDU_BRD00128_3004_1;MDU_BRD00128_3003_1;MDU_BRD00128_3004_2;06.02.2015;4;;
MDU_BRD00128_3005_1;MDU_BRD00128_3005;1;10.207.128.35;300;Huawei Quidway S2326;21023513666TB6012173;80fb-060b-0074;2;;;»—“»Õ¿;F;F;MDU_BRD00128_3004_1;MDU_BRD00128_3006_1;MDU_BRD00128_3005_1;06.02.2015;6;;
MDU_BRD00128_3006_1;MDU_BRD00128_3006;1;10.207.128.34;300;Huawei Quidway S2326;21023513666TB6012195;80fb-060b-008a;1;;;»—“»Õ¿;F;F;ds1-zap36;MDU_BRD00128_3005_1;MDU_BRD00128_3006_1;06.02.2015;7;1;200
MDU_BRD00128_3011_1;MDU_BRD00128_3011;1;10.207.128.46;301;Huawei Quidway S2326;21023513666TB6016215;80fb-060d-8f36;7;;;»—“»Õ¿;C;F;MDU_BRD00128_3011_2;MDU_BRD00128_3012_2;MDU_BRD00128_3011_1;06.02.2015;2;;
MDU_BRD00128_3011_2;MDU_BRD00128_3011;2;10.207.128.54;301;Huawei Quidway S2326;21023513666TCB006543;1047-800e-e1b1;8;;;»—“»Õ¿;Down;C;ds1-zap36;MDU_BRD00128_3011_1;MDU_BRD00128_3011_2;06.02.2015;1;;201
MDU_BRD00128_3012_1;MDU_BRD00128_3012;1;10.207.128.45;301;Huawei Quidway S2326;21023513666TB6012186;80fb-060b-0081;6;;;»—“»Õ¿;F;C;MDU_BRD00128_3013_1;MDU_BRD00128_3012_2;MDU_BRD00128_3012_1;06.02.2015;4;;
MDU_BRD00128_3012_2;MDU_BRD00128_3012;2;10.207.128.72;301;Huawei Quidway S2326;2102351366DME7001891;04f9-38c9-7d35;12;;;»—“»Õ¿;C;F;MDU_BRD00128_3012_1;MDU_BRD00128_3011_1;MDU_BRD00128_3012_2;06.02.2015;3;;
MDU_BRD00128_3013_1;MDU_BRD00128_3013;1;10.207.128.44;301;Huawei Quidway S2326;21023513666TB6016585;80fb-060d-182f;5;;;»—“»Õ¿;F;C;MDU_BRD00128_3012_1;MDU_BRD00128_3013_2;MDU_BRD00128_3013_1;06.02.2015;5;;
MDU_BRD00128_3013_2;MDU_BRD00128_3013;2;10.207.128.70;301;Huawei Quidway S2326;2102351366DME7001931;04f9-38c9-7d5d;11;;;»—“»Õ¿;C;F;MDU_BRD00128_3013_1;MDU_BRD00128_3014_1;MDU_BRD00128_3013_2;06.02.2015;6;;
MDU_BRD00128_3014_1;MDU_BRD00128_3014;1;10.207.128.43;301;Huawei Quidway S2326;21023513666TB6012196;80fb-060b-008b;4;;;»—“»Õ¿;F;F;MDU_BRD00128_3015_1;MDU_BRD00128_3013_2;MDU_BRD00128_3014_1;06.02.2015;7;;
MDU_BRD00128_3015_1;MDU_BRD00128_3015;1;10.207.128.42;301;Huawei Quidway S2326;21023513666TB6013272;80fb-060f-2563;3;;;»—“»Õ¿;C;F;MDU_BRD00128_3015_2;MDU_BRD00128_3014_1;MDU_BRD00128_3015_1;06.02.2015;8;;
MDU_BRD00128_3015_2;MDU_BRD00128_3015;2;10.207.128.65;301;Huawei Quidway S2326;21023513666TCB006989;1047-800e-e36f;9;;;»—“»Õ¿;F;C;MDU_BRD00128_3016_1;MDU_BRD00128_3015_1;MDU_BRD00128_3015_2;06.02.2015;9;;
MDU_BRD00128_3016_1;MDU_BRD00128_3016;1;10.207.128.41;301;Huawei Quidway S2326;21023513666TB7028145;80fb-06c1-e816;2;;;»—“»Õ¿;F;C;MDU_BRD00128_3015_2;MDU_BRD00128_3016_2;MDU_BRD00128_3016_1;06.02.2015;10;;
MDU_BRD00128_3016_2;MDU_BRD00128_3016;2;10.207.128.69;301;Huawei Quidway S2326;2102351366DME6004487;5439-df2b-d18f;10;;;»—“»Õ¿;C;F;MDU_BRD00128_3016_1;MDU_BRD00128_3017_1;MDU_BRD00128_3016_2;06.02.2015;11;;
MDU_BRD00128_3017_1;MDU_BRD00128_3017;1;10.207.128.40;301;Huawei Quidway S2326;21023513666TB6012187;80fb-060b-0082;1;;;»—“»Õ¿;F;F;MDU_BRD00128_3016_2;ds2-zap36;MDU_BRD00128_3017_1;06.02.2015;12;2;201
MDU_BRD00129_1001_1;MDU_BRD00129_1001;1;10.207.129.1;100;D-Link DES-3200-26;PVHQ1A7011439;1C-BD-B9-EC-1A-A0;1;;;»—“»Õ¿;F;F;MDU_BRD00129_1002_1;ds1-zap788;MDU_BRD00129_1001_1;05.02.2015;1;26;100
MDU_BRD00129_1002_1;MDU_BRD00129_1002;1;10.207.129.2;100;D-Link DES-3200-26;PVHQ1A7011927;1C-BD-B9-EC-61-80;2;;;»—“»Õ¿;F;C;MDU_BRD00129_1001_1;MDU_BRD00129_1002_2;MDU_BRD00129_1002_1;05.02.2015;2;;
MDU_BRD00129_1002_2;MDU_BRD00129_1002;2;10.207.129.250;100;Huawei Quidway S2326;2102351366DME7001971;04f9-38c9-7d85;10;;;»—“»Õ¿;C;F;MDU_BRD00129_1002_1;MDU_BRD00129_1003_1;MDU_BRD00129_1002_2;06.02.2015;3;;
MDU_BRD00129_1003_1;MDU_BRD00129_1003;1;10.207.129.3;100;D-Link DES-3200-26;PVHQ1A7011928;1C-BD-B9-EC-4E-E0;3;;;»—“»Õ¿;F;C;MDU_BRD00129_1002_2;MDU_BRD00129_1003_2;MDU_BRD00129_1003_1;05.02.2015;4;;
MDU_BRD00129_1003_2;MDU_BRD00129_1003;2;10.207.129.6;100;Huawei Quidway S2326;21023513666TB9007055;5489-98af-3b69;6;;;»—“»Õ¿;C;F;MDU_BRD00129_1003_1;MDU_BRD00129_1004_1;MDU_BRD00129_1003_2;06.02.2015;5;;
MDU_BRD00129_1004_1;MDU_BRD00129_1004;1;10.207.129.4;100;D-Link DES-3200-26;PVHQ1A7011453;1C-BD-B9-EB-16-A0;4;;;»—“»Õ¿;C;F;MDU_BRD00129_1004_2;MDU_BRD00129_1003_2;MDU_BRD00129_1004_1;05.02.2015;6;;
MDU_BRD00129_1004_2;MDU_BRD00129_1004;2;10.207.129.106;100;Huawei Quidway S2326;21023513666TD1008966;dcd2-fc59-2702;7;;;»—“»Õ¿;C;C;MDU_BRD00129_1005_1;MDU_BRD00129_1004_1;MDU_BRD00129_1004_2;06.02.2015;7;;
MDU_BRD00129_1005_1;MDU_BRD00129_1005;1;10.207.129.5;100;D-Link DES-3200-28;PVI41A5000190;1C-BD-B9-63-2E-20;5;;;»—“»Õ¿;Down;C;ds2-zap788;MDU_BRD00129_1004_2;MDU_BRD00129_1005_1;05.02.2015;8;;100
MDU_BRD00129_1011_1;MDU_BRD00129_1011;1;10.207.129.18;101;D-Link DES-3200-26;PVHQ1A7011933;1C-BD-B9-EB-4A-A0;1;;;»—“»Õ¿;F;F;ds1-zap788;MDU_BRD00129_1012_1;MDU_BRD00129_1011_1;05.02.2015;1;25;101
MDU_BRD00129_1012_1;MDU_BRD00129_1012;1;10.207.129.19;101;D-Link DES-3200-26;PVHQ1A7011934;1C-BD-B9-EB-3F-00;9;;;»—“»Õ¿;Down;F;MDU_BRD00129_1021_2;MDU_BRD00129_1011_1;MDU_BRD00129_1012_1;05.02.2015;2;;101
MDU_BRD00129_1021_1;MDU_BRD00129_1021;1;10.207.129.33;102;D-Link DES-3200-26;PVHQ1A7011455;1C-BD-B9-EB-16-40;11;;;»—“»Õ¿;C;F;MDU_BRD00129_1021_2;MDU_BRD00129_1022_2;MDU_BRD00129_1021_1;05.02.2015;9;;102
MDU_BRD00129_1021_2;MDU_BRD00129_1021;2;10.207.129.103;102;Huawei Quidway S2326;21023513666TCB006516;1047-800e-e196;10;;;»—“»Õ¿;Down;C;MDU_BRD00129_1012_1;MDU_BRD00129_1021_1;MDU_BRD00129_1021_2;06.02.2015;10;;
MDU_BRD00129_1022_1;MDU_BRD00129_1022;1;10.207.129.34;102;Huawei Quidway S2326;21023513666TD1010000;dcd2-fc59-2b0c;2;;;»—“»Õ¿;F;C;MDU_BRD00129_1023_1;MDU_BRD00129_1022_2;MDU_BRD00129_1022_1;06.02.2015;7;;
MDU_BRD00129_1022_2;MDU_BRD00129_1022;2;10.207.129.39;102;Huawei Quidway S2326;21023513666TC3001746;4cb1-6c7f-ab0a;7;;;»—“»Õ¿;C;F;MDU_BRD00129_1022_1;MDU_BRD00129_1021_1;MDU_BRD00129_1022_2;06.02.2015;8;;
MDU_BRD00129_1023_1;MDU_BRD00129_1023;1;10.207.129.35;102;D-Link DES-3200-26;PVHQ1A7011443;1C-BD-B9-EC-1A-60;3;;;»—“»Õ¿;F;F;MDU_BRD00129_1024_1;MDU_BRD00129_1022_1;MDU_BRD00129_1023_1;05.02.2015;6;;
